,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
322,155,2018-12-01 08:00:00,462,2429,127,213,6785,129,421,7364,126,236,6000,126,1140,3264
117,157,2018-12-01 09:00:00,446,2361,128,225,6576,130,432,7106,129,251,5828,126,1122,3033
21,153,2018-12-01 10:00:00,428,2388,126,189,6298,130,441,7036,128,242,5729,126,1086,3090
308,156,2018-12-01 11:00:00,435,2334,127,202,6313,131,432,6936,127,236,5581,126,1119,3102
370,154,2018-12-01 12:00:00,424,2285,126,199,6156,131,446,6865,127,242,5665,126,1101,3000
279,155,2018-12-01 13:00:00,435,2324,127,196,6298,131,468,6833,127,246,5645,126,1134,3009
364,155,2018-12-01 14:00:00,451,2313,127,195,6310,130,459,6846,127,241,5632,126,1104,3072
363,155,2018-12-01 15:00:00,458,2472,127,208,6455,129,470,6782,127,244,5546,126,1143,3132
229,154,2018-12-01 16:00:00,464,2420,127,213,6564,130,475,6726,128,244,5590,126,1146,2943
357,154,2018-12-01 17:00:00,460,2452,127,204,6727,130,456,6625,128,244,5583,126,1161,3051
265,152,2018-12-01 18:00:00,455,2449,127,205,6782,129,452,6561,128,239,5504,126,1131,3051
230,155,2018-12-01 19:00:00,444,2415,127,199,6692,130,417,6726,127,244,5452,126,1143,3090
377,154,2018-12-01 20:00:00,452,2434,126,203,6798,130,449,6792,128,236,5523,126,1119,3111
6,152,2018-12-01 21:00:00,430,2362,126,199,6606,133,417,6782,127,236,5613,126,1092,2886
172,154,2018-12-01 22:00:00,456,2371,126,209,6650,129,425,6520,127,226,5433,126,1122,3000
331,153,2018-12-01 23:00:00,451,2412,126,200,6705,129,417,6832,126,240,5519,126,1128,3111
403,152,2018-12-02 00:00:00,461,2427,126,215,6813,129,416,6526,128,237,5544,126,1101,3075
315,151,2018-12-02 01:00:00,467,2503,126,198,6854,129,398,6399,126,230,5557,126,1080,3210
198,152,2018-12-02 02:00:00,464,2494,126,211,7126,128,411,6700,127,226,5681,126,1143,3174
104,153,2018-12-02 03:00:00,478,2603,126,204,7302,128,403,6778,127,233,5720,126,1140,3216
206,153,2018-12-02 04:00:00,449,2543,126,197,7177,128,403,6957,128,239,5844,126,1125,3132
431,152,2018-12-02 05:00:00,466,2567,126,207,7369,128,414,6797,126,233,5905,126,1119,3207
139,153,2018-12-02 06:00:00,450,2601,126,199,7507,128,422,7048,126,230,5905,126,1128,3237
244,152,2018-12-02 07:00:00,429,2526,125,196,7459,128,385,6896,124,226,5847,126,1083,3201
78,150,2018-12-02 08:00:00,410,2389,126,182,7318,127,391,6850,125,225,5795,126,1056,3015
34,149,2018-12-02 09:00:00,406,2376,126,189,7020,127,386,6567,125,218,5682,126,1044,2952
410,148,2018-12-02 10:00:00,398,2435,126,183,6884,127,379,6640,125,216,5619,126,1044,3036
390,149,2018-12-02 11:00:00,412,2342,126,194,6939,128,385,6689,126,211,5596,126,1044,3048
48,148,2018-12-02 12:00:00,397,2305,126,181,6912,128,382,6568,126,207,5516,126,1008,2961
421,147,2018-12-02 13:00:00,404,2352,126,180,6930,129,375,6665,125,209,5464,126,1014,2961
271,147,2018-12-02 14:00:00,399,2233,126,178,6776,127,368,6585,125,218,5370,126,1017,2883
24,146,2018-12-02 15:00:00,404,2276,125,185,6683,128,387,6599,126,219,5248,126,987,2946
335,146,2018-12-02 16:00:00,420,2317,126,180,6718,128,386,6548,134,222,5395,126,984,3042
411,147,2018-12-02 17:00:00,400,2276,125,182,6778,126,365,6437,124,218,5334,126,969,3003
392,148,2018-12-02 18:00:00,423,2326,126,180,6756,127,375,6313,126,220,5227,126,936,2994
131,146,2018-12-02 19:00:00,387,2145,125,172,6332,126,344,6174,124,213,4856,126,936,2814
124,148,2018-12-02 20:00:00,415,2253,125,187,6269,127,359,6219,126,217,4926,126,921,2958
30,145,2018-12-02 21:00:00,423,2283,128,190,6667,130,368,6277,126,228,4898,132,960,3003
196,145,2018-12-02 22:00:00,434,2270,125,198,6534,128,376,6313,126,224,5043,126,996,3033
412,144,2018-12-02 23:00:00,427,2298,128,193,6648,127,355,6374,126,215,5041,126,900,3048
413,144,2018-12-03 00:00:00,439,2367,125,209,6743,129,373,6390,128,240,5147,126,972,3015
354,146,2018-12-03 01:00:00,420,2273,125,187,6469,128,365,6459,126,236,5295,126,999,3000
119,146,2018-12-03 02:00:00,434,2395,125,190,6740,128,372,6504,125,231,5344,126,948,3084
314,148,2018-12-03 03:00:00,451,2463,125,194,6940,128,387,6529,126,229,5411,126,981,3174
215,148,2018-12-03 04:00:00,439,2375,125,181,6934,128,369,6483,125,220,5281,126,981,3099
385,146,2018-12-03 05:00:00,426,2339,125,178,6710,128,358,6426,128,211,5314,126,969,3156
347,146,2018-12-03 06:00:00,395,2348,125,186,6934,128,342,6500,125,223,5368,126,975,3156
219,145,2018-12-03 07:00:00,382,2326,125,171,6836,126,329,6458,126,225,5362,126,960,3144
25,145,2018-12-03 08:00:00,393,2209,126,180,6388,127,345,6297,125,225,5351,126,969,3183
287,143,2018-12-03 09:00:00,388,2215,124,170,6679,127,326,6287,124,219,5319,132,963,3120
232,143,2018-12-03 10:00:00,381,2224,125,178,6426,126,334,6285,124,211,5220,126,897,3096
324,144,2018-12-03 11:00:00,381,2158,125,178,6628,127,342,6216,125,216,5069,126,897,2982
61,145,2018-12-03 12:00:00,388,2097,126,174,6306,127,348,6185,126,224,5066,126,891,2895
121,144,2018-12-03 13:00:00,366,2040,125,182,6257,126,345,6142,126,219,5130,126,891,2883
100,143,2018-12-03 14:00:00,372,2056,125,178,6306,127,333,6085,124,227,5132,126,831,2901
204,144,2018-12-03 15:00:00,370,2054,126,180,6301,127,330,6162,126,209,5091,126,906,2829
242,143,2018-12-03 16:00:00,373,2014,125,182,6488,127,342,6053,126,224,5060,126,858,2745
293,142,2018-12-03 17:00:00,357,2063,125,179,6226,127,338,5970,126,219,5086,126,849,2733
49,143,2018-12-03 18:00:00,365,2156,132,181,6236,128,359,6167,126,213,5227,126,897,2763
101,142,2018-12-03 19:00:00,372,2181,126,189,5924,129,368,6075,126,218,5264,126,900,2799
433,141,2018-12-03 20:00:00,373,2077,126,177,6042,133,346,6101,129,230,5204,126,855,2805
444,141,2018-12-03 21:00:00,364,2077,124,174,5991,127,341,5992,127,212,5157,126,870,2766
313,143,2018-12-03 22:00:00,373,2112,125,186,6161,129,349,5801,129,216,5246,129,885,2712
145,142,2018-12-03 23:00:00,359,2049,126,185,5897,129,337,5923,128,210,5249,126,903,2775
452,148,2018-12-04 00:00:00,366,2127,126,204,6260,130,350,6039,129,241,5327,126,912,2781
365,141,2018-12-04 01:00:00,386,2177,125,207,6193,129,355,6154,130,263,5373,126,930,2748
247,141,2018-12-04 02:00:00,386,2203,124,192,6389,128,352,6253,128,242,5377,126,945,2808
58,141,2018-12-04 03:00:00,354,2245,124,190,6088,128,362,6437,128,250,5527,126,939,2772
327,140,2018-12-04 04:00:00,353,2222,124,196,6432,126,359,6555,125,241,5393,126,963,2835
223,140,2018-12-04 05:00:00,377,2261,124,186,6416,126,360,6561,125,234,5397,126,942,2883
256,141,2018-12-04 06:00:00,372,2289,125,189,6522,127,347,6370,128,251,5383,126,963,2742
399,143,2018-12-04 07:00:00,359,2346,126,180,6455,127,334,6377,125,233,5354,129,909,2688
68,140,2018-12-04 08:00:00,363,2368,128,200,6466,127,356,6468,125,248,5366,126,948,2748
136,142,2018-12-04 09:00:00,372,2324,125,187,6409,126,347,6329,125,227,5307,126,933,2670
160,140,2018-12-04 10:00:00,348,2285,127,187,6549,126,362,6551,125,226,5433,126,936,2700
221,140,2018-12-04 11:00:00,366,2252,126,189,6302,126,342,6472,126,223,5182,126,945,2700
326,140,2018-12-04 12:00:00,371,2259,125,193,6397,127,348,6451,127,226,4963,126,918,2532
7,141,2018-12-04 13:00:00,349,2284,124,187,6295,127,342,6456,124,213,5048,126,924,2562
213,139,2018-12-04 14:00:00,345,2180,124,186,6151,126,322,6417,125,209,4733,126,876,2448
65,139,2018-12-04 15:00:00,361,2194,124,186,5972,127,353,6403,125,218,4852,126,909,2496
