,BlackCommon,Date,BlackUncommon,BlackRare,BlueCommon,BlueUncommon,BlueRare,RedCommon,RedUncommon,RedRare,GreenCommon,GreenUncommon,GreenRare,ItemCommon,ItemUncommon,ItemRare
165,126,2018-12-09 23:00:00,224,1561,123,143,4524,124,214,3624,123,153,3436,126,552,1503
190,125,2018-12-10 00:00:00,226,1634,124,140,4775,123,218,3815,123,159,3544,126,564,1605
436,126,2018-12-10 01:00:00,228,1642,123,142,4983,124,233,3731,124,162,3751,126,582,1428
79,125,2018-12-10 02:00:00,213,1514,125,144,4732,123,215,3802,127,159,3601,126,549,1344
418,126,2018-12-10 03:00:00,226,1621,124,144,4948,123,214,3682,124,171,3595,126,591,1455
387,125,2018-12-10 04:00:00,227,1639,124,150,4710,123,214,3709,124,165,3585,126,585,1509
254,125,2018-12-10 05:00:00,223,1591,123,148,4584,123,216,3754,123,156,3677,126,540,1455
380,125,2018-12-10 06:00:00,229,1562,123,142,4499,123,213,3812,123,156,3643,126,570,1542
435,124,2018-12-10 07:00:00,225,1696,123,140,4649,123,240,3898,123,165,3742,126,555,1551
292,124,2018-12-10 08:00:00,219,1602,125,132,4348,123,207,3701,123,156,3580,129,522,1512
187,124,2018-12-10 09:00:00,211,1511,123,143,4347,123,210,3576,123,153,3620,126,516,1437
0,124,2018-12-10 10:00:00,210,1552,124,136,4657,123,203,3684,123,153,3646,126,537,1518
166,124,2018-12-10 11:00:00,199,1439,123,135,4211,123,197,3286,123,150,3340,126,501,1404
355,124,2018-12-10 12:00:00,197,1527,123,133,4352,123,199,3419,123,150,3406,126,483,1344
126,124,2018-12-10 13:00:00,201,1505,123,145,4402,123,209,3591,123,153,3570,126,522,1461
44,124,2018-12-10 14:00:00,211,1540,124,142,4123,123,202,3589,123,156,3586,126,561,1326
441,124,2018-12-10 15:00:00,214,1512,123,151,4256,123,208,3525,123,156,3587,126,519,1389
118,125,2018-12-10 16:00:00,216,1474,123,152,4265,123,221,3467,123,156,3644,126,528,1395
386,124,2018-12-10 17:00:00,217,1447,124,139,4087,123,212,3435,123,156,3496,126,540,1365
28,125,2018-12-10 18:00:00,208,1445,123,145,4225,123,214,3470,123,168,3602,126,561,1308
352,124,2018-12-10 19:00:00,211,1503,123,142,4213,125,204,3530,123,165,3705,126,543,1437
209,125,2018-12-10 20:00:00,218,1517,124,143,4162,123,206,3534,123,156,3610,126,540,1377
366,127,2018-12-10 21:00:00,213,1564,124,152,4410,127,214,3767,130,159,3839,126,543,1419
77,125,2018-12-10 22:00:00,197,1540,123,140,4138,127,198,3354,124,150,3674,126,525,1449
336,126,2018-12-10 23:00:00,222,1615,124,140,4445,127,223,3748,124,157,3883,126,561,1566
164,125,2018-12-11 00:00:00,225,1609,124,164,4397,127,214,3712,127,162,3748,126,609,1530
3,124,2018-12-11 01:00:00,204,1631,123,142,4135,127,211,3575,129,147,3535,126,561,1425
64,125,2018-12-11 02:00:00,227,1640,123,145,4266,124,217,3775,123,150,3695,126,564,1515
280,125,2018-12-11 03:00:00,224,1584,124,143,4599,124,211,3796,124,159,3887,126,576,1395
112,131,2018-12-11 04:00:00,249,1615,124,159,4578,124,226,3785,123,162,3785,126,576,1425
294,125,2018-12-11 05:00:00,215,1642,126,149,4447,124,209,3652,123,153,3896,126,534,1545
342,125,2018-12-11 06:00:00,245,1726,124,166,4848,124,220,3893,123,159,3888,126,579,1614
381,125,2018-12-11 07:00:00,219,1679,124,140,4908,123,206,3870,123,156,3921,126,543,1620
269,125,2018-12-11 08:00:00,214,1713,123,141,4874,123,211,3990,123,156,3991,126,582,1644
12,125,2018-12-11 09:00:00,207,1660,124,152,5006,123,205,3972,123,154,3840,126,534,1659
115,125,2018-12-11 10:00:00,217,1687,123,138,4626,126,214,3918,123,153,3869,126,552,1542
238,125,2018-12-11 11:00:00,218,1656,123,148,4629,123,206,3702,123,156,3634,126,516,1548
397,125,2018-12-11 12:00:00,225,1657,123,150,4682,123,203,3784,123,159,3663,126,546,1539
90,125,2018-12-11 13:00:00,206,1644,123,142,4881,123,205,3863,123,147,3656,126,513,1521
13,125,2018-12-11 14:00:00,227,1693,123,142,4714,123,208,3973,123,156,3789,126,543,1728
105,125,2018-12-11 15:00:00,212,1690,123,144,4776,123,203,3749,123,156,3941,126,531,1515
188,124,2018-12-11 16:00:00,217,1710,123,150,5018,123,211,3828,123,159,3978,126,585,1719
146,125,2018-12-11 17:00:00,226,1725,123,147,4538,124,211,3683,123,156,3694,126,579,1704
158,126,2018-12-11 18:00:00,215,1706,123,156,4879,124,220,3774,123,162,4040,126,558,1671
353,125,2018-12-11 19:00:00,233,1748,124,155,4817,124,219,3909,123,159,3914,126,600,1662
384,128,2018-12-11 20:00:00,244,1829,124,156,4737,124,227,4072,123,159,4136,126,603,1629
205,125,2018-12-11 21:00:00,227,1852,123,146,4827,124,221,3768,123,150,4044,126,579,1689
154,124,2018-12-11 22:00:00,232,1929,126,153,5085,125,226,3979,123,156,4057,129,609,1797
408,126,2018-12-11 23:00:00,257,1791,124,165,5263,123,205,3941,124,166,4203,126,615,1656
19,127,2018-12-12 00:00:00,244,1919,123,158,5238,123,218,4092,123,159,4310,126,627,1764
73,126,2018-12-12 01:00:00,246,2027,123,163,5323,124,209,4110,123,159,4330,126,624,1758
449,125,2018-12-12 02:00:00,237,1945,123,145,4817,123,221,3999,123,153,3976,126,612,1764
284,127,2018-12-12 03:00:00,239,2082,126,137,4997,125,214,4080,123,159,4330,126,612,1848
434,126,2018-12-12 04:00:00,225,2089,124,155,4650,124,198,3825,123,156,4070,126,558,1821
233,126,2018-12-12 05:00:00,239,2132,129,159,5179,123,216,4093,123,156,4315,126,606,1836
273,126,2018-12-12 06:00:00,238,2086,124,161,5345,123,226,3977,123,153,4185,126,633,1812
81,124,2018-12-12 07:00:00,202,1739,123,136,4570,123,195,3464,123,147,3686,126,510,1515
274,124,2018-12-12 08:00:00,194,1595,123,132,4302,123,192,3396,123,144,3559,126,492,1419
358,124,2018-12-12 09:00:00,191,1507,123,132,4173,123,187,3323,123,144,3462,126,495,1338
4,124,2018-12-12 10:00:00,192,1450,123,131,3933,123,187,3196,123,144,3345,126,456,1230
409,124,2018-12-12 11:00:00,184,1437,123,131,3790,123,181,3173,123,144,3176,126,450,1233
402,124,2018-12-12 12:00:00,184,1541,123,137,4220,123,188,3262,123,147,3524,126,462,1374
36,125,2018-12-12 13:00:00,197,1701,123,139,4535,123,195,3648,123,150,3866,126,534,1458
29,125,2018-12-12 14:00:00,191,1740,123,134,4688,123,193,3860,123,150,3831,126,537,1527
155,125,2018-12-12 15:00:00,191,1787,123,132,4546,123,192,3866,123,150,3672,126,537,1500
356,125,2018-12-12 16:00:00,190,1689,123,138,4502,123,191,3748,123,147,3579,126,525,1563
426,125,2018-12-12 17:00:00,202,1638,123,142,4482,123,195,3805,123,150,3621,126,507,1521
143,125,2018-12-12 18:00:00,219,1785,123,141,4379,124,204,3949,123,150,3718,126,531,1554
453,125,2018-12-12 19:00:00,207,1760,123,150,4286,123,203,3812,123,147,3600,129,519,1461
168,125,2018-12-12 20:00:00,213,1821,123,144,4575,123,205,3889,123,147,3406,126,525,1524
224,130,2018-12-12 21:00:00,225,1834,126,157,4534,126,223,3666,123,159,3595,129,585,1545
319,124,2018-12-12 22:00:00,207,1765,123,136,4456,123,193,3705,123,157,3584,129,540,1545
200,125,2018-12-12 23:00:00,226,1872,123,152,4628,123,216,3855,124,153,3764,129,552,1635
306,125,2018-12-13 00:00:00,199,1763,126,137,4694,124,190,3837,123,156,3792,132,537,1536
175,125,2018-12-13 01:00:00,217,1716,127,149,4798,123,208,3822,125,154,3899,138,552,1590
277,125,2018-12-13 02:00:00,214,1746,123,138,4375,123,210,3739,123,156,3516,126,588,1545
108,124,2018-12-13 03:00:00,187,1720,123,135,4649,123,205,3544,123,154,3473,126,543,1530
88,131,2018-12-13 04:00:00,203,1716,126,150,4531,124,198,3603,123,165,3725,126,543,1599
72,125,2018-12-13 05:00:00,203,1919,123,146,4586,123,206,3802,123,152,3869,129,525,1680
54,125,2018-12-13 06:00:00,223,1943,123,150,4722,123,206,3775,126,159,3868,126,543,1647
323,124,2018-12-13 07:00:00,196,1879,123,138,4611,123,206,3817,123,153,3732,126,558,1584
332,127,2018-12-13 08:00:00,182,1787,129,138,4625,123,191,3713,123,156,3853,126,507,1635
368,125,2018-12-13 09:00:00,180,1653,123,131,4424,123,191,3688,123,150,3711,126,486,1443
103,124,2018-12-13 10:00:00,188,1766,123,137,4590,123,197,3450,123,156,3775,126,480,1548
425,124,2018-12-13 11:00:00,187,1714,123,138,4409,123,190,3439,123,156,3565,126,495,1404
234,124,2018-12-13 12:00:00,184,1602,123,131,4289,123,183,3369,123,150,3534,126,492,1371
344,124,2018-12-13 13:00:00,185,1678,123,131,4550,123,191,3651,123,150,3564,126,543,1458
40,124,2018-12-13 14:00:00,191,1760,123,139,4437,123,189,3667,126,150,3435,126,522,1422
66,124,2018-12-13 15:00:00,191,1576,123,136,4233,123,195,3425,123,150,3451,126,507,1413
41,124,2018-12-13 16:00:00,194,1550,123,139,4332,123,183,3495,123,150,3534,126,528,1434
296,124,2018-12-13 17:00:00,200,1758,123,135,4517,123,189,3681,123,153,3600,126,510,1533
334,125,2018-12-13 18:00:00,196,1729,123,137,4519,123,194,3709,123,150,3645,126,525,1449
96,124,2018-12-13 19:00:00,188,1700,123,134,4614,123,189,3694,123,144,3879,126,510,1434
252,125,2018-12-13 20:00:00,203,1775,123,144,4615,125,198,3763,129,157,3842,126,531,1431
181,125,2018-12-13 21:00:00,197,1603,123,139,4462,123,201,3630,123,156,3589,126,549,1452
149,125,2018-12-13 22:00:00,202,1667,129,149,4720,123,199,3509,123,159,3903,126,549,1509
22,125,2018-12-13 23:00:00,207,1760,123,142,4550,123,201,3741,123,156,3855,126,525,1569
286,125,2018-12-14 00:00:00,213,1766,129,137,4709,123,198,3804,126,156,3830,126,570,1593
422,125,2018-12-14 01:00:00,210,1821,123,145,4658,127,206,3846,126,160,3956,129,567,1623
345,125,2018-12-14 02:00:00,205,1778,123,143,4508,126,210,3918,123,168,3648,126,546,1530
76,126,2018-12-14 03:00:00,221,1777,129,148,4303,123,229,3659,123,159,3940,126,585,1611
291,126,2018-12-14 04:00:00,211,1769,123,152,4643,123,207,3761,123,165,3936,126,522,1554
63,124,2018-12-14 05:00:00,190,1863,123,141,4783,126,194,3921,123,159,3975,126,522,1701
98,126,2018-12-14 06:00:00,219,1925,123,140,4865,123,192,3840,124,162,3992,126,534,1662
202,125,2018-12-14 07:00:00,200,1868,123,135,4834,124,190,3978,123,159,4042,126,549,1575
401,125,2018-12-14 08:00:00,202,1925,123,139,4708,123,200,3944,123,162,4006,126,537,1668
114,123,2018-12-14 09:00:00,185,1744,123,135,4291,123,182,3450,123,150,3629,126,489,1443
110,123,2018-12-14 10:00:00,196,1807,123,141,4432,123,189,3434,124,150,3530,126,498,1464
362,124,2018-12-14 11:00:00,199,1631,123,131,4164,123,189,3602,123,150,3602,126,537,1380
189,124,2018-12-14 12:00:00,191,1651,123,131,4262,123,182,3553,123,156,3805,126,498,1428
404,125,2018-12-14 13:00:00,186,1794,123,137,4516,123,196,3656,123,159,3828,126,549,1413
52,124,2018-12-14 14:00:00,192,1808,123,135,4527,123,187,3706,123,156,3878,126,552,1581
9,125,2018-12-14 15:00:00,198,1797,123,134,4634,123,192,3877,123,162,4097,126,549,1527
367,125,2018-12-14 16:00:00,184,1696,123,135,4523,124,184,3650,123,153,3785,126,504,1563
62,125,2018-12-14 17:00:00,191,1735,123,135,4720,123,199,3780,123,156,3824,126,525,1533
18,125,2018-12-14 18:00:00,190,1727,123,135,4536,124,193,3784,123,156,3875,126,543,1461
152,125,2018-12-14 19:00:00,187,1796,123,138,4774,124,188,3821,123,156,3958,126,513,1473
42,127,2018-12-14 20:00:00,206,1853,124,146,4922,126,196,4046,124,168,4046,126,549,1587
442,127,2018-12-14 21:00:00,205,1882,124,154,4815,126,208,4095,126,165,4104,132,567,1608
69,125,2018-12-14 22:00:00,207,1762,123,141,4639,124,199,3832,123,165,4087,126,576,1446
157,125,2018-12-14 23:00:00,210,1841,127,157,4937,126,207,4035,128,163,4143,126,588,1584
207,133,2018-12-15 00:00:00,234,1819,124,170,5096,127,239,4039,125,196,4171,126,615,1584
33,124,2018-12-15 01:00:00,193,1806,123,140,4516,124,189,4041,123,162,4071,126,579,1452
38,125,2018-12-15 02:00:00,209,1782,123,162,4630,124,214,4112,126,171,4188,126,576,1506
193,125,2018-12-15 03:00:00,224,1903,129,150,4951,124,200,4007,123,172,4011,126,528,1569
93,124,2018-12-15 04:00:00,194,1817,123,140,4622,123,190,3848,123,156,3986,126,522,1455
194,125,2018-12-15 05:00:00,190,1906,123,136,4719,124,194,4007,123,153,3699,126,501,1440
32,125,2018-12-15 06:00:00,212,1779,123,137,4703,124,202,3750,123,153,3661,132,543,1500
301,124,2018-12-15 07:00:00,195,1787,123,142,4768,124,194,3784,123,163,3936,126,513,1542
318,124,2018-12-15 08:00:00,199,1807,123,143,4965,123,204,4095,123,163,4169,126,570,1521
290,125,2018-12-15 09:00:00,182,1754,123,132,4707,123,203,3726,123,159,3725,126,549,1509
298,123,2018-12-15 10:00:00,188,1643,123,144,4631,123,183,3819,125,160,3708,126,522,1392
95,124,2018-12-15 11:00:00,203,1798,123,137,4612,123,194,4016,123,157,3898,126,537,1485
329,123,2018-12-15 12:00:00,184,1760,123,132,4522,124,189,3998,123,150,3773,126,525,1362
37,125,2018-12-15 13:00:00,201,1826,124,139,4515,123,199,4005,123,164,3875,126,543,1434
191,124,2018-12-15 14:00:00,210,1794,123,135,4774,124,208,3894,123,153,3759,126,543,1521
406,123,2018-12-15 15:00:00,191,1751,123,135,4644,123,199,3790,123,159,3675,132,531,1524
197,123,2018-12-15 16:00:00,197,1768,123,133,4419,123,188,3919,123,150,3738,126,531,1434
133,130,2018-12-15 17:00:00,183,1752,123,132,4655,123,188,4071,123,153,4088,126,486,1485
47,124,2018-12-15 18:00:00,187,1744,123,135,4434,123,185,3770,123,159,3934,126,495,1398
350,126,2018-12-15 19:00:00,191,1799,124,145,4476,123,186,3767,123,153,4010,126,498,1500
420,124,2018-12-15 20:00:00,196,1816,123,146,4425,123,203,4058,123,153,3972,126,528,1362
251,125,2018-12-15 21:00:00,204,1785,123,151,4362,125,202,4037,123,165,3897,126,531,1509
173,125,2018-12-15 22:00:00,199,1615,123,134,4278,125,193,3984,123,150,3579,126,543,1401
423,127,2018-12-15 23:00:00,233,1784,123,159,4588,129,231,3951,126,168,3981,129,618,1422
275,126,2018-12-16 00:00:00,187,1702,123,134,4592,125,195,4202,126,165,3796,126,519,1524
85,124,2018-12-16 01:00:00,198,1762,123,149,4671,123,199,4113,123,150,3810,126,564,1425
395,126,2018-12-16 02:00:00,191,1817,123,165,4791,125,214,4105,123,171,4049,126,582,1503
31,124,2018-12-16 03:00:00,186,1766,123,140,4703,124,185,4222,126,153,3881,126,531,1491
179,125,2018-12-16 04:00:00,192,1772,123,139,4523,123,184,4089,123,153,3773,126,540,1431
437,127,2018-12-16 05:00:00,195,1838,126,137,4760,123,184,3811,123,178,3746,126,567,1530
415,126,2018-12-16 06:00:00,202,1861,123,163,4607,123,215,4179,124,159,4040,126,594,1461
51,125,2018-12-16 07:00:00,198,1855,126,150,4667,123,198,3992,124,165,4045,126,564,1491
447,126,2018-12-16 08:00:00,189,1726,123,132,4341,123,195,4134,124,150,3951,126,519,1401
162,124,2018-12-16 09:00:00,190,1770,123,138,4640,123,184,3914,123,165,4000,126,513,1374
91,124,2018-12-16 10:00:00,181,1667,123,131,4294,123,189,3611,123,147,3743,126,501,1365
5,124,2018-12-16 11:00:00,185,1658,123,139,4517,123,186,3831,123,164,3802,126,555,1305
343,125,2018-12-16 12:00:00,197,1729,123,141,4254,124,192,3880,124,162,3764,126,561,1347
373,123,2018-12-16 13:00:00,184,1603,123,137,4438,123,187,3942,123,147,3998,126,495,1263
109,125,2018-12-16 14:00:00,186,1683,123,135,4558,123,179,3870,123,156,3711,126,495,1320
87,125,2018-12-16 15:00:00,185,1648,123,135,4637,123,188,3874,123,165,4006,126,489,1311
169,123,2018-12-16 16:00:00,180,1631,123,137,4594,123,178,3814,123,156,3723,126,483,1284
317,123,2018-12-16 17:00:00,181,1640,123,141,4531,123,186,3755,123,150,3676,126,501,1257
102,124,2018-12-16 18:00:00,193,1753,125,141,4730,123,187,3887,123,159,3932,126,507,1371
16,124,2018-12-16 19:00:00,186,1765,123,142,4618,123,194,3831,123,156,3718,126,555,1479
186,124,2018-12-16 20:00:00,196,1655,124,153,4359,125,188,3825,125,165,3771,126,534,1341
339,125,2018-12-16 21:00:00,206,1634,123,144,4512,124,188,3699,124,156,3764,126,525,1197
8,125,2018-12-16 22:00:00,182,1649,123,141,4652,123,193,3776,124,153,3816,132,552,1224
266,132,2018-12-16 23:00:00,208,1766,128,144,4806,124,203,4017,124,165,4020,126,564,1356
17,128,2018-12-17 00:00:00,205,1753,124,145,4591,129,205,4110,124,168,4160,126,564,1398
10,129,2018-12-17 01:00:00,187,1673,125,157,4673,123,197,4051,123,186,3892,138,519,1383
310,125,2018-12-17 02:00:00,209,1730,134,153,4861,124,189,4076,126,155,4001,126,495,1350
341,125,2018-12-17 03:00:00,188,1616,123,143,4675,123,193,3851,123,165,4012,126,498,1443
226,125,2018-12-17 04:00:00,192,1777,123,142,4765,127,186,3727,123,156,4030,126,528,1494
360,124,2018-12-17 05:00:00,190,1756,123,132,4784,123,180,3793,123,162,3820,126,495,1401
212,125,2018-12-17 06:00:00,191,1797,124,145,4815,123,197,3890,123,155,3954,126,501,1476
346,123,2018-12-17 07:00:00,179,1702,123,128,4337,123,173,3884,123,156,3752,126,483,1329
57,126,2018-12-17 08:00:00,189,1733,123,136,4712,123,189,4031,123,156,3934,126,507,1401
278,123,2018-12-17 09:00:00,173,1512,129,131,4234,123,182,3770,123,153,3614,126,471,1257
176,124,2018-12-17 10:00:00,185,1572,123,137,4399,123,187,3930,123,156,3954,126,507,1320
192,124,2018-12-17 11:00:00,187,1526,123,135,4463,123,186,3781,123,147,3579,126,498,1368
429,124,2018-12-17 12:00:00,182,1503,123,137,4221,123,187,3772,123,147,3488,126,468,1278
351,124,2018-12-17 13:00:00,177,1520,129,131,4113,126,174,3820,123,150,3466,126,483,1236
383,123,2018-12-17 14:00:00,183,1536,123,144,4467,126,187,3856,123,159,3848,126,525,1350
445,125,2018-12-17 15:00:00,197,1550,123,143,4605,126,184,3811,123,150,3789,126,495,1338
400,123,2018-12-17 16:00:00,174,1456,123,134,4167,126,172,3739,123,147,3664,126,459,1338
83,91,2018-12-17 17:00:00,151,1387,114,113,4395,114,177,3884,75,138,3732,126,492,1434
